ticker,value
ES,50.0
NQ,50.0
YM,50.0
RTY,50.0
GC,50.0
HG,50.0
SI,50.0
CL,50.0
NG,50.0
6E,50.0
6B,50.0
6A,50.0
6N,50.0
ZB,50.0
MARKET,50.0
MMM,50.0
AOS,50.0
ABT,50.0
ABBV,50.0
ACN,50.0
ADBE,50.0
AMD,50.0
AES,50.0
AFL,50.0
A,50.0
APD,50.0
ABNB,50.0
AKAM,50.0
ALB,50.0
ARE,50.0
ALGN,50.0
ALLE,50.0
LNT,50.0
ALL,50.0
GOOGL,50.0
GOOG,50.0
MO,50.0
AMZN,50.0
AMCR,50.0
AEE,50.0
AEP,50.0
AXP,50.0
AIG,50.0
AMT,50.0
AWK,50.0
AMP,50.0
AME,50.0
AMGN,50.0
APH,50.0
ADI,50.0
AON,50.0
APA,50.0
APO,50.0
AAPL,50.0
AMAT,50.0
APP,50.0
APTV,50.0
ACGL,50.0
ADM,50.0
ARES,50.0
ANET,50.0
AJG,50.0
AIZ,50.0
T,50.0
ATO,50.0
ADSK,50.0
ADP,50.0
AZO,50.0
AVB,50.0
AVY,50.0
AXON,50.0
BKR,50.0
BALL,50.0
BAC,50.0
BAX,50.0
BDX,50.0
BRK-B,50.0
BBY,50.0
TECH,50.0
BIIB,50.0
BLK,50.0
BX,50.0
XYZ,50.0
BK,50.0
BA,50.0
BKNG,50.0
BSX,50.0
BMY,50.0
AVGO,50.0
BR,50.0
BRO,50.0
BF-B,50.0
BLDR,50.0
BG,50.0
BXP,50.0
CHRW,50.0
CDNS,50.0
CPT,50.0
CPB,50.0
COF,50.0
CAH,50.0
CCL,50.0
CARR,50.0
CVNA,50.0
CAT,50.0
CBOE,50.0
CBRE,50.0
CDW,50.0
COR,50.0
CNC,50.0
CNP,50.0
CF,50.0
CRL,50.0
SCHW,50.0
CHTR,50.0
CVX,50.0
CMG,50.0
CB,50.0
CHD,50.0
CIEN,50.0
CI,50.0
CINF,50.0
CTAS,50.0
CSCO,50.0
C,50.0
CFG,50.0
CLX,50.0
CME,50.0
CMS,50.0
KO,50.0
CTSH,50.0
COIN,50.0
CMCSA,50.0
FIX,50.0
CAG,50.0
COP,50.0
ED,50.0
STZ,50.0
CEG,50.0
COO,50.0
CPRT,50.0
GLW,50.0
CPAY,50.0
CTVA,50.0
CSGP,50.0
COST,50.0
CTRA,50.0
CRH,50.0
CRWD,50.0
CCI,50.0
CSX,50.0
CMI,50.0
CVS,50.0
DHR,50.0
DRI,50.0
DDOG,50.0
DVA,50.0
DECK,50.0
DE,50.0
DELL,50.0
DAL,50.0
DVN,50.0
DXCM,50.0
FANG,50.0
DLR,50.0
DG,50.0
DLTR,50.0
D,50.0
DPZ,50.0
DASH,50.0
DOV,50.0
DOW,50.0
DHI,50.0
DTE,50.0
DUK,50.0
DD,50.0
ETN,50.0
EBAY,50.0
ECL,50.0
EIX,50.0
EW,50.0
EA,50.0
ELV,50.0
EME,50.0
EMR,50.0
ETR,50.0
EOG,50.0
EPAM,50.0
EQT,50.0
EFX,50.0
EQIX,50.0
EQR,50.0
ERIE,50.0
ESS,50.0
EL,50.0
EG,50.0
EVRG,50.0
EXC,50.0
EXE,50.0
EXPE,50.0
EXPD,50.0
EXR,50.0
XOM,50.0
FFIV,50.0
FDS,50.0
FICO,50.0
FAST,50.0
FRT,50.0
FDX,50.0
FIS,50.0
FITB,50.0
FSLR,50.0
FE,50.0
FISV,50.0
F,50.0
FTNT,50.0
FTV,50.0
FOXA,50.0
FOX,50.0
BEN,50.0
FCX,50.0
GRMN,50.0
IT,50.0
GE,50.0
GEHC,50.0
GEV,50.0
GEN,50.0
GNRC,50.0
GD,50.0
GIS,50.0
GM,50.0
GPC,50.0
GILD,50.0
GPN,50.0
GL,50.0
GDDY,50.0
GS,50.0
HAL,50.0
HIG,50.0
HAS,50.0
HCA,50.0
DOC,50.0
HSIC,50.0
HSY,50.0
HPE,50.0
HLT,50.0
HOLX,50.0
HD,50.0
HON,50.0
HRL,50.0
HST,50.0
HWM,50.0
HPQ,50.0
HUBB,50.0
HUM,50.0
HBAN,50.0
HII,50.0
IBM,50.0
IEX,50.0
IDXX,50.0
ITW,50.0
INCY,50.0
IR,50.0
PODD,50.0
INTC,50.0
IBKR,50.0
ICE,50.0
IFF,50.0
IP,50.0
INTU,50.0
ISRG,50.0
IVZ,50.0
INVH,50.0
IQV,50.0
IRM,50.0
JBHT,50.0
JBL,50.0
JKHY,50.0
J,50.0
JNJ,50.0
JCI,50.0
JPM,50.0
KVUE,50.0
KDP,50.0
KEY,50.0
KEYS,50.0
KMB,50.0
KIM,50.0
KMI,50.0
KKR,50.0
KLAC,50.0
KHC,50.0
KR,50.0
LHX,50.0
LH,50.0
LRCX,50.0
LW,50.0
LVS,50.0
LDOS,50.0
LEN,50.0
LII,50.0
LLY,50.0
LIN,50.0
LYV,50.0
LMT,50.0
L,50.0
LOW,50.0
LULU,50.0
LYB,50.0
MTB,50.0
MPC,50.0
MAR,50.0
MRSH,50.0
MLM,50.0
MAS,50.0
MA,50.0
MTCH,50.0
MKC,50.0
MCD,50.0
MCK,50.0
MDT,50.0
MRK,50.0
META,50.0
MET,50.0
MTD,50.0
MGM,50.0
MCHP,50.0
MU,50.0
MSFT,50.0
MAA,50.0
MRNA,50.0
MOH,50.0
TAP,50.0
MDLZ,50.0
MPWR,50.0
MNST,50.0
MCO,50.0
MS,50.0
MOS,50.0
MSI,50.0
MSCI,50.0
NDAQ,50.0
NTAP,50.0
NFLX,50.0
NEM,50.0
NWSA,50.0
NWS,50.0
NEE,50.0
NKE,50.0
NI,50.0
NDSN,50.0
NSC,50.0
NTRS,50.0
NOC,50.0
NCLH,50.0
NRG,50.0
NUE,50.0
NVDA,50.0
NVR,50.0
NXPI,50.0
ORLY,50.0
OXY,50.0
ODFL,50.0
OMC,50.0
ON,50.0
OKE,50.0
ORCL,50.0
OTIS,50.0
PCAR,50.0
PKG,50.0
PLTR,50.0
PANW,50.0
PSKY,50.0
PH,50.0
PAYX,50.0
PAYC,50.0
PYPL,50.0
PNR,50.0
PEP,50.0
PFE,50.0
PCG,50.0
PM,50.0
PSX,50.0
PNW,50.0
PNC,50.0
POOL,50.0
PPG,50.0
PPL,50.0
PFG,50.0
PG,50.0
PGR,50.0
PLD,50.0
PRU,50.0
PEG,50.0
PTC,50.0
PSA,50.0
PHM,50.0
PWR,50.0
QCOM,50.0
DGX,50.0
Q,50.0
RL,50.0
RJF,50.0
RTX,50.0
O,50.0
REG,50.0
REGN,50.0
RF,50.0
RSG,50.0
RMD,50.0
RVTY,50.0
HOOD,50.0
ROK,50.0
ROL,50.0
ROP,50.0
ROST,50.0
RCL,50.0
SPGI,50.0
CRM,50.0
SNDK,50.0
SBAC,50.0
SLB,50.0
STX,50.0
SRE,50.0
NOW,50.0
SHW,50.0
SPG,50.0
SWKS,50.0
SJM,50.0
SW,50.0
SNA,50.0
SOLV,50.0
SO,50.0
LUV,50.0
SWK,50.0
SBUX,50.0
STT,50.0
STLD,50.0
STE,50.0
SYK,50.0
SMCI,50.0
SYF,50.0
SNPS,50.0
SYY,50.0
TMUS,50.0
TROW,50.0
TTWO,50.0
TPR,50.0
TRGP,50.0
TGT,50.0
TEL,50.0
TDY,50.0
TER,50.0
TSLA,50.0
TXN,50.0
TPL,50.0
TXT,50.0
TMO,50.0
TJX,50.0
TKO,50.0
TTD,50.0
TSCO,50.0
TT,50.0
TDG,50.0
TRV,50.0
TRMB,50.0
TFC,50.0
TYL,50.0
TSN,50.0
USB,50.0
UBER,50.0
UDR,50.0
ULTA,50.0
UNP,50.0
UAL,50.0
UPS,50.0
URI,50.0
UNH,50.0
UHS,50.0
VLO,50.0
VTR,50.0
VLTO,50.0
VRSN,50.0
VRSK,50.0
VZ,50.0
VRTX,50.0
VTRS,50.0
VICI,50.0
V,50.0
VST,50.0
VMC,50.0
WRB,50.0
GWW,50.0
WAB,50.0
WMT,50.0
DIS,50.0
WBD,50.0
WM,50.0
WAT,50.0
WEC,50.0
WFC,50.0
WELL,50.0
WST,50.0
WDC,50.0
WY,50.0
WSM,50.0
WMB,50.0
WTW,50.0
WDAY,50.0
WYNN,50.0
XEL,50.0
XYL,50.0
YUM,50.0
ZBRA,50.0
ZBH,50.0
ZTS,50.0
